Project,Package,Class,Method,CFG
foo,profiling.constraint.bytecode,ByteCodeAnalyser,getCFGs,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.bytecode,ByteCodeAnalyser,init,n0->n1:n1->n2:n1->n3:n2->n3:
foo,profiling.constraint.bytecode,ByteCodeAnalyser,getCFG,n0->n3:n1->n2:n1->n3:n3->n1:n3->n4:
foo,profiling.constraint.bytecode,ByteCodeAnalyser,processClass,n0->n9:n1->n2:n1->n7:n2->n3:n2->n6:n3->n4:n3->n6:n4->n5:n4->n6:n5->n6:n6->n8:n7->n8:n8->n9:n9->n1:n9->n10:
foo,profiling.constraint.bytecode,ByteCodeAnalyser,init,n0->n1:n1->n2:n1->n3:n2->n3:
foo,profiling.constraint.graph,Node,copy,n0->n1:n0->n2:n1->n2:n2->n4:n3->n4:n4->n3:n4->n5:n5->n7:n6->n7:n7->n6:n7->n8:
foo,profiling.constraint.bytecode.instructionhandler,LDCHandler,handle,n0->n1:n0->n2:n1->n6:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:
foo,profiling.constraint.project,Clazz,meanMetricToCSV,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Clazz,printMetricsToFile_byMethod,n0->n2:n0->n4:n1->n2:n1->n4:n2->n1:n2->n3:n2->n4:n3->n4:n3->n5:n4->n5:
foo,profiling.constraint.project,Clazz,calculateMetrics,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,ConstraintInfoToFile,headProject,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,ConstraintInfoToFile,headClass,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,ConstraintInfoToFile,toOneLineString,n0->n1:n0->n2:n1->n3:n2->n3:n3->n4:n3->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n9:n8->n9:n9->n10:n9->n11:n10->n11:n11->n12:n11->n13:n12->n14:n13->n14:n14->n15:n14->n16:n15->n16:n16->n17:n16->n18:n17->n19:n18->n19:n19->n20:n19->n21:n20->n21:n21->n22:n21->n23:n22->n24:n23->n24:n24->n25:n24->n26:n25->n26:n26->n27:n26->n28:n27->n29:n28->n29:n29->n30:n29->n31:n30->n31:n31->n32:n31->n33:n32->n34:n33->n34:n34->n35:n34->n36:n35->n36:n36->n37:n36->n38:n37->n39:n38->n39:n39->n40:n39->n41:n40->n41:n41->n42:n41->n43:n42->n44:n43->n44:n44->n45:n44->n46:n45->n46:n46->n47:n46->n48:n47->n49:n48->n49:n49->n50:n49->n51:n50->n51:n51->n52:n51->n53:n52->n54:n53->n54:n54->n55:n54->n56:n55->n56:n56->n57:n56->n58:n57->n59:n58->n59:
foo,profiling.constraint.analysis,ConstraintInfoToFile,toOneLineString_short,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n8:n8->n9:n8->n10:n9->n10:n10->n11:n10->n12:n11->n12:n12->n13:n12->n14:n13->n14:n14->n15:n14->n16:n15->n16:n16->n17:n16->n18:n17->n18:n18->n19:n18->n20:n19->n20:
foo,profiling.constraint.analysis,ConstraintInfoToFile,toPaperString_types,n0->n1:n0->n2:n1->n3:n2->n3:n3->n4:n3->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n9:n8->n9:n9->n10:n9->n11:n10->n12:n11->n12:n12->n13:n12->n14:n13->n15:n14->n15:n15->n16:n15->n17:n16->n18:n17->n18:n18->n19:n18->n20:n19->n21:n20->n21:n21->n22:n21->n23:n22->n24:n23->n24:n24->n25:n24->n26:n25->n27:n26->n27:
foo,profiling.constraint.analysis,ConstraintInfoToFile,head,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,ConstraintInfoToFile,toVerboseString,n0->n1:n0->n2:n1->n3:n2->n3:n3->n4:n3->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n9:n8->n9:n9->n10:n9->n11:n10->n12:n11->n12:n12->n13:n12->n14:n13->n15:n14->n15:n15->n16:n15->n17:n16->n18:n17->n18:n18->n19:n18->n20:n19->n21:n20->n21:n21->n22:n21->n23:n22->n24:n23->n24:n24->n25:n24->n26:n25->n27:n26->n27:n27->n28:n27->n29:n28->n30:n29->n30:n30->n31:n30->n32:n31->n33:n32->n33:n33->n34:n33->n35:n34->n36:n35->n36:n36->n37:n36->n38:n37->n39:n38->n39:
foo,profiling.constraint.analysis,ConstraintInfoToFile,toPaperString_metrics,n0->n1:n0->n2:n1->n3:n2->n3:n3->n4:n3->n5:n4->n6:n5->n6:
foo,profiling.constraint.analysis,ConstraintInfoToFile,headMethod,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.graph,CFG,changeNodeLabels,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.graph,CFG,getConstraintCount,n0->n5:n1->n2:n1->n3:n2->n3:n3->n4:n3->n5:n4->n5:n5->n1:n5->n6:
foo,profiling.constraint.graph,CFG,getStrNodes,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.graph,CFG,getPlanEdges,n0->n18:n1->n5:n2->n3:n2->n4:n3->n5:n4->n5:n5->n6:n5->n7:n6->n2:n6->n7:n7->n8:n7->n17:n8->n9:n8->n16:n9->n14:n10->n11:n10->n12:n11->n12:n11->n13:n12->n14:n13->n14:n14->n15:n14->n16:n15->n10:n15->n16:n16->n18:n17->n18:n18->n1:n18->n19:n19->n23:n20->n21:n20->n22:n21->n22:n22->n23:n23->n20:n23->n24:n24->n36:n25->n26:n25->n35:n26->n30:n27->n28:n27->n29:n28->n30:n29->n30:n30->n31:n30->n32:n31->n27:n31->n32:n32->n33:n32->n34:n33->n35:n34->n35:n35->n36:n36->n25:n36->n37:n37->n39:n38->n39:n39->n38:n39->n40:n40->n42:n41->n42:n42->n41:n42->n43:
foo,profiling.constraint.graph,CFG,toString,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.graph,CFG,copy,n0->n1:n0->n14:n1->n3:n2->n3:n3->n2:n3->n4:n4->n6:n5->n6:n6->n5:n6->n7:n7->n10:n8->n9:n8->n10:n9->n10:n10->n8:n10->n11:n11->n13:n12->n13:n13->n12:n13->n14:
foo,profiling.constraint.graph,CFG,getEdgesFromNode,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.graph,CFG,changeEdgeLabels,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.bytecode.instructionhandler,LoadHandler,handle,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:
foo,profiling.constraint.graph,JGraphTUtils,computeStronglyConnectedNodes,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.graph,JGraphTUtils,transformIntoDirectedGraph,n0->n2:n1->n2:n2->n1:n2->n3:n3->n5:n4->n5:n5->n4:n5->n6:
foo,profiling.constraint.graph,JGraphTUtils,getInstance,n0->n1:n0->n2:n1->n2:
foo,profiling.constraint.graph,JGraphTUtils,getShortestPath,n0->n1:n0->n8:n1->n2:n1->n8:n2->n6:n3->n4:n3->n5:n4->n5:n5->n6:n6->n3:n6->n7:
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,getConstraintSequenceElements,n0->n1:n0->n11:n1->n10:n2->n3:n2->n9:n3->n4:n3->n5:n4->n9:n5->n6:n5->n9:n6->n8:n7->n8:n8->n7:n8->n9:n9->n10:n10->n2:n10->n11:
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,applyUpdateOnMethodCall,n0->n5:n1->n2:n1->n3:n2->n4:n3->n4:n4->n5:n5->n1:n5->n6:
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceConstraint,n0->n1:n0->n2:n2->n7:n3->n5:n4->n5:n5->n4:n5->n6:n6->n7:n7->n3:n7->n8:
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceVariable,n0->n1:n0->n2:
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceExpression,n0->n4:n1->n2:n1->n3:n2->n3:n3->n4:n4->n1:n4->n5:
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,applyUpdateOnVariable,n0->n1:n0->n5:n1->n2:n1->n3:n2->n5:n3->n4:n3->n5:n4->n5:
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,applyUpdate,n0->n1:n0->n13:n1->n2:n1->n5:n2->n3:n2->n5:n3->n4:n3->n5:n4->n5:n5->n6:n5->n12:n6->n8:n7->n8:n8->n9:n8->n10:n9->n7:n9->n10:n10->n11:n10->n12:n11->n12:n13->n14:n13->n15:n15->n16:n15->n17:n16->n40:n17->n18:n17->n25:n18->n19:n18->n20:n19->n20:n20->n21:n20->n40:n21->n22:n21->n23:n22->n24:n23->n24:n24->n40:n25->n26:n25->n33:n26->n31:n27->n28:n27->n29:n28->n30:n29->n30:n30->n31:n31->n27:n31->n32:n32->n40:n33->n34:n33->n35:n35->n36:n35->n40:n36->n38:n37->n38:n38->n37:n38->n39:n39->n40:n40->n41:n40->n42:n41->n42:
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceArrayElement,n0->n1:n0->n2:
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceStaticClass,n0->n1:n0->n2:n1->n2:
foo,profiling.constraint.bytecode.instructionhandler,HandlerFactory,createInstructionHandler,n0->n1:n0->n2:n2->n3:n2->n4:n4->n5:n4->n6:n6->n7:n6->n8:n7->n8:n7->n9:n9->n10:n9->n11:n11->n12:n11->n13:n12->n13:n12->n14:n14->n15:n14->n16:n16->n17:n16->n18:n18->n19:n18->n20:n20->n21:n20->n22:n22->n23:n22->n24:n24->n25:n24->n26:n26->n27:n26->n28:n28->n29:n28->n30:n30->n31:n30->n32:n32->n33:n32->n34:n34->n35:n34->n36:n35->n36:n35->n37:n37->n38:n37->n39:n39->n40:n39->n41:n41->n42:n41->n43:n43->n44:n43->n45:n45->n46:n45->n47:n47->n48:n47->n49:n49->n50:n49->n51:n50->n51:n50->n52:n52->n53:n52->n54:
foo,profiling.constraint.bytecode,BytecodeUtils,isXCMPInstruction,n0->n1:n0->n5:n1->n2:n1->n5:n2->n3:n2->n5:n3->n4:n3->n5:n4->n5:n4->n6:
foo,profiling.constraint.bytecode,BytecodeUtils,isInstanceOfIfInstruction,n0->n1:n0->n8:n1->n2:n1->n8:n2->n3:n2->n8:n3->n4:n3->n8:n4->n5:n4->n8:n5->n6:n5->n8:n6->n7:n6->n8:n7->n8:n7->n9:
foo,profiling.constraint.bytecode,BytecodeUtils,isNEG,n0->n1:n0->n4:n1->n2:n1->n4:n2->n3:n2->n4:n3->n4:n3->n5:
foo,profiling.constraint.bytecode,BytecodeUtils,isInstanceOfXCONST,n0->n1:n0->n5:n1->n2:n1->n5:n2->n3:n2->n5:n3->n4:n3->n5:n4->n5:n4->n6:
foo,profiling.constraint.bytecode,BytecodeUtils,isArrayInstruction,n0->n1:n0->n5:n1->n2:n1->n5:n2->n3:n2->n5:n3->n4:n3->n5:n4->n5:n4->n6:
foo,profiling.constraint.bytecode,BytecodeUtils,isType2TypeInstruction,n0->n1:n0->n15:n1->n2:n1->n15:n2->n3:n2->n15:n3->n4:n3->n15:n4->n5:n4->n15:n5->n6:n5->n15:n6->n7:n6->n15:n7->n8:n7->n15:n8->n9:n8->n15:n9->n10:n9->n15:n10->n11:n10->n15:n11->n12:n11->n15:n12->n13:n12->n15:n13->n14:n13->n15:n14->n15:n14->n16:
foo,profiling.constraint.bytecode,BytecodeUtils,isInstanceOfIfReturn,n0->n1:n0->n7:n1->n2:n1->n7:n2->n3:n2->n7:n3->n4:n3->n7:n4->n5:n4->n7:n5->n6:n5->n7:n6->n7:n6->n8:
foo,profiling.constraint.project,Method,hasConstraintElements,n0->n1:n0->n2:
foo,profiling.constraint.project,Method,generatecontvet,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Method,pathsMetricToCSV,n0->n1:n0->n11:n1->n10:n2->n3:n2->n10:n3->n4:n3->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n9:n8->n9:n9->n10:n10->n2:n10->n11:
foo,profiling.constraint.project,Method,calcCC,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:n4->n7:n5->n6:n5->n7:n6->n7:n7->n5:n7->n8:n8->n9:n8->n10:
foo,profiling.constraint.project,Method,isIn,n0->n4:n1->n2:n1->n3:n3->n4:n4->n1:n4->n5:
foo,profiling.constraint.project,Method,getPlanEdges,n0->n1:n0->n2:n1->n2:
foo,profiling.constraint.project,Method,sortNodes,n0->n2:n1->n2:n2->n1:n2->n3:n3->n10:n4->n8:n5->n6:n5->n7:n6->n7:n7->n8:n8->n5:n8->n9:n9->n10:n10->n4:n10->n11:n11->n13:n12->n13:n13->n12:n13->n14:
foo,profiling.constraint.project,Method,meanMetricToCSV,n0->n1:n0->n7:n1->n4:n2->n3:n2->n4:n3->n4:n4->n2:n4->n5:n5->n6:n5->n7:n6->n7:
foo,profiling.constraint.project,Method,calculateMetrics,n0->n1:n0->n7:n1->n2:n1->n16:n2->n3:n2->n4:n3->n4:n3->n5:n4->n5:n5->n6:n5->n16:n6->n16:n7->n12:n8->n9:n8->n10:n9->n10:n10->n11:n10->n12:n11->n12:n12->n8:n12->n13:n13->n14:n13->n15:n14->n15:n15->n16:n16->n17:n16->n18:n17->n18:n18->n19:n18->n20:n19->n20:
foo,profiling.constraint.project,Method,printComparisonsToCSV,n0->n1:n0->n10:n1->n3:n2->n3:n3->n2:n3->n4:n4->n8:n5->n6:n5->n7:n6->n7:n7->n8:n8->n5:n8->n9:n9->n10:
foo,profiling.constraint.project,Method,getPackageName,n0->n1:n0->n4:n1->n2:n1->n4:n2->n3:n2->n4:
foo,profiling.constraint.project,Method,calculateCyclomaticComplexity,n0->n4:n1->n2:n1->n3:n2->n3:n2->n4:n3->n4:n4->n1:n4->n5:n5->n6:n5->n7:n6->n8:n7->n8:
foo,profiling.constraint.project,Method,getClassName,n0->n1:n0->n4:n1->n2:n1->n4:n2->n3:n2->n4:
foo,profiling.constraint.project,Method,meanMetricToCSV_short,n0->n1:n0->n2:n1->n2:n2->n3:n2->n17:n3->n8:n4->n5:n4->n8:n5->n6:n5->n7:n6->n7:n7->n8:n8->n4:n8->n9:n9->n10:n9->n17:n10->n11:n10->n12:n11->n13:n12->n13:n13->n14:n13->n15:n14->n16:n15->n16:n16->n17:
foo,profiling.constraint.project,Method,constraintsToCSV,n0->n1:n0->n7:n1->n6:n2->n4:n3->n4:n4->n3:n4->n5:n5->n6:n6->n2:n6->n7:
foo,profiling.constraint.project,Method,pathsMetricToCSV_short,n0->n1:n0->n11:n1->n10:n2->n3:n2->n10:n3->n4:n3->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n9:n8->n9:n9->n10:n10->n2:n10->n11:
foo,profiling.constraint.analysis.stack,NewArray,toString,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis.stack,NewArray,setVisited,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis.stack,RelationalExpression,getType,n0->n4:n1->n2:n1->n3:n2->n3:n3->n4:n4->n1:n4->n5:n5->n6:n5->n7:n6->n16:n7->n8:n7->n9:n8->n16:n9->n10:n9->n11:n10->n16:n11->n12:n11->n13:n12->n16:n13->n14:n13->n15:n14->n16:n15->n16:
foo,profiling.constraint.graph,CombinedCFG,joinCFGs,n0->n2:n1->n2:n2->n1:n2->n3:n3->n5:n4->n5:n5->n4:n5->n6:n6->n10:n7->n8:n7->n9:n8->n9:n9->n10:n10->n7:n10->n11:n11->n14:n12->n13:n12->n14:n13->n14:n14->n12:n14->n15:n15->n17:n16->n17:n17->n16:n17->n18:
foo,profiling.constraint.bytecode.instructionhandler,FieldHandler,handle,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n8:n8->n9:n8->n12:n9->n10:n9->n11:n10->n12:n11->n12:n12->n13:n12->n15:n13->n14:n13->n15:n14->n15:n15->n16:n15->n17:n16->n17:n17->n18:n17->n21:n18->n19:n18->n20:n19->n20:n20->n21:n21->n22:n21->n23:n22->n23:n22->n24:n23->n24:n24->n25:n24->n26:n25->n26:
foo,profiling.constraint.bytecode.instructionhandler,NewHandler,handle,n0->n1:n0->n2:n1->n2:n2->n3:n2->n6:n3->n4:n3->n5:n4->n5:n5->n6:
foo,profiling.constraint.bytecode.instructionhandler,AbstractHandler,getVariableName,n0->n1:n0->n3:n1->n2:n1->n3:n2->n3:
foo,profiling.constraint.bytecode.instructionhandler,AbstractHandler,getVariableType,n0->n1:n0->n3:n1->n2:n1->n3:n2->n3:
foo,profiling.constraint.bytecode.instructionhandler,ArrayHandler,handle,n0->n1:n0->n2:n1->n26:n2->n3:n2->n7:n3->n5:n4->n5:n5->n4:n5->n6:n6->n26:n7->n8:n7->n9:n8->n26:n9->n10:n9->n11:n10->n26:n11->n12:n11->n25:n12->n13:n12->n14:n13->n14:n14->n15:n14->n24:n15->n16:n15->n24:n16->n17:n16->n24:n17->n18:n17->n24:n18->n19:n18->n24:n19->n20:n19->n21:n20->n21:n21->n22:n21->n23:n22->n23:n23->n24:n24->n26:n25->n26:
foo,profiling.constraint.bytecode.instructionhandler,ArrayHandler,isStoreInstruction,n0->n1:n0->n8:n1->n2:n1->n8:n2->n3:n2->n8:n3->n4:n3->n8:n4->n5:n4->n8:n5->n6:n5->n8:n6->n7:n6->n8:n7->n8:n7->n9:
foo,profiling.constraint.analysis.info,MethodCallInfo,increment,n0->n4:n1->n2:n1->n3:n2->n4:n3->n4:n4->n1:n4->n5:
foo,profiling.constraint.analysis.info,MethodCallInfo,calculateMean,n0->n6:n1->n5:n2->n3:n2->n4:n3->n5:n4->n5:n5->n2:n5->n6:n6->n1:n6->n7:n7->n9:n8->n9:n9->n8:n9->n10:
foo,profiling.constraint.analysis.info,MethodCallInfo,getObjectTypes,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.analysis.info,MethodCallInfo,getPrimitiveTypes,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.analysis.info,MethodCallInfo,increment,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n8:n8->n9:n8->n11:n9->n10:n9->n11:n10->n11:n11->n12:n11->n13:n12->n14:n13->n14:
foo,profiling.constraint.analysis.info,MethodCallInfo,getArrayTypes,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.analysis.info,MethodCallInfo,getDistinctObjectTypes,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.bytecode.instructionhandler,IINCHandler,handle,n0->n1:n0->n2:n1->n3:n2->n3:n3->n4:n3->n5:n4->n5:n5->n6:n5->n12:n6->n7:n6->n12:n7->n8:n7->n12:n8->n9:n8->n10:n9->n11:n10->n11:n11->n12:
